# r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
7.996000000000000000e+05	1.297503918252536748e+00	1.446104221570020616e+08	3.488981611691352900e+24	4.288772198259712809e+01	5.461708501763859580e+00	1.686247563701584795e+00	9.949522061057596289e-01
7.997000000000000000e+05	1.297562316007026206e+00	1.444916523342207372e+08	3.485067569100302175e+24	4.285246612000656796e+01	5.457223455709426574e+00	1.685684025436130495e+00	9.949528054550327294e-01
7.998000000000000000e+05	1.297620680391385450e+00	1.443729687666029632e+08	3.481157545454406994e+24	4.281723588770603328e+01	5.452741666288167366e+00	1.685120433528546124e+00	9.949534046813800492e-01
7.999000000000000000e+05	1.297679011418295669e+00	1.442543713969648182e+08	3.477251536918614823e+24	4.278203126868558570e+01	5.448263131341480658e+00	1.684556787955574730e+00	9.949540037848290108e-01
8.000000000000000000e+05	1.297737309100436942e+00	1.441358601681573987e+08	3.473349539661320376e+24	4.274685224594585264e+01	5.443787848712090316e+00	1.683993088693942708e+00	9.949546027654065927e-01
8.001000000000000000e+05	1.297795573450487572e+00	1.440174350230662823e+08	3.469451549854367226e+24	4.271169880249712492e+01	5.439315816243965429e+00	1.683429335720346254e+00	9.949552016231401064e-01
8.002000000000000000e+05	1.297853804481125195e+00	1.438990959046134353e+08	3.465557563673041361e+24	4.267657092136112595e+01	5.434847031782506832e+00	1.682865529011480232e+00	9.949558003580566412e-01
8.003000000000000000e+05	1.297912002205025672e+00	1.437808427557579875e+08	3.461667577296069039e+24	4.264146858556990338e+01	5.430381493174436081e+00	1.682301668544020190e+00	9.949563989701833977e-01
8.004000000000000000e+05	1.297970166634862865e+00	1.436626755194911957e+08	3.457781586905615177e+24	4.260639177816617007e+01	5.425919198267822097e+00	1.681737754294626797e+00	9.949569974595476873e-01
8.005000000000000000e+05	1.298028297783309082e+00	1.435445941388412416e+08	3.453899588687277979e+24	4.257134048220240885e+01	5.421460144911971923e+00	1.681173786239933854e+00	9.949575958261767106e-01
8.006000000000000000e+05	1.298086395663035963e+00	1.434265985568722188e+08	3.450021578830088940e+24	4.253631468074257072e+01	5.417004330957639446e+00	1.680609764356572722e+00	9.949581940700974458e-01
8.007000000000000000e+05	1.298144460286713375e+00	1.433086887166826427e+08	3.446147553526508012e+24	4.250131435686100900e+01	5.412551754256907266e+00	1.680045688621157884e+00	9.949587921913372046e-01
8.008000000000000000e+05	1.298202491667009406e+00	1.431908645614068508e+08	3.442277508972420922e+24	4.246633949364174043e+01	5.408102412663083669e+00	1.679481559010274738e+00	9.949593901899231874e-01
8.009000000000000000e+05	1.298260489816590812e+00	1.430731260342147946e+08	3.438411441367136485e+24	4.243139007418074016e+01	5.403656304030980628e+00	1.678917375500514231e+00	9.949599880658825946e-01
8.010000000000000000e+05	1.298318454748123019e+00	1.429554730783103704e+08	3.434549346913383919e+24	4.239646608158307828e+01	5.399213426216574518e+00	1.678353138068430228e+00	9.949605858192425156e-01
8.011000000000000000e+05	1.298376386474269228e+00	1.428379056369343400e+08	3.430691221817309090e+24	4.236156749896507989e+01	5.394773777077265464e+00	1.677788846690572155e+00	9.949611834500301510e-01
8.012000000000000000e+05	1.298434285007692424e+00	1.427204236533609033e+08	3.426837062288473974e+24	4.232669430945313849e+01	5.390337354471714804e+00	1.677224501343465901e+00	9.949617809582728123e-01
8.013000000000000000e+05	1.298492150361053143e+00	1.426030270709025562e+08	3.422986864539849676e+24	4.229184649618494518e+01	5.385904156260041376e+00	1.676660102003635799e+00	9.949623783439974778e-01
8.014000000000000000e+05	1.298549982547011261e+00	1.424857158329035044e+08	3.419140624787818043e+24	4.225702404230773368e+01	5.381474180303560395e+00	1.676095648647574432e+00	9.949629756072314590e-01
8.015000000000000000e+05	1.298607781578223541e+00	1.423684898827445805e+08	3.415298339252164683e+24	4.222222693097982926e+01	5.377047424464991288e+00	1.675531141251767941e+00	9.949635727480019565e-01
8.016000000000000000e+05	1.298665547467346526e+00	1.422513491638435721e+08	3.411460004156080040e+24	4.218745514536973218e+01	5.372623886608337784e+00	1.674966579792681376e+00	9.949641697663360596e-01
8.017000000000000000e+05	1.298723280227035204e+00	1.421342936196489036e+08	3.407625615726152950e+24	4.215270866865641608e+01	5.368203564598945654e+00	1.674401964246765351e+00	9.949647666622610798e-01
8.018000000000000000e+05	1.298780979869943231e+00	1.420173231936488748e+08	3.403795170192370105e+24	4.211798748402920722e+01	5.363786456303468064e+00	1.673837294590451386e+00	9.949653634358039955e-01
8.019000000000000000e+05	1.298838646408722042e+00	1.419004378293653131e+08	3.399968663788111759e+24	4.208329157468858028e+01	5.359372559589968610e+00	1.673272570800166559e+00	9.949659600869921183e-01
8.020000000000000000e+05	1.298896279856021740e+00	1.417836374703534245e+08	3.396146092750150115e+24	4.204862092384464489e+01	5.354961872327725025e+00	1.672707792852308861e+00	9.949665566158525376e-01
8.021000000000000000e+05	1.298953880224491320e+00	1.416669220602055490e+08	3.392327453318645033e+24	4.201397551471816882e+01	5.350554392387374847e+00	1.672142960723263627e+00	9.949671530224125648e-01
8.022000000000000000e+05	1.299011447526778218e+00	1.415502915425484478e+08	3.388512741737141880e+24	4.197935533054054957e+01	5.346150117640905641e+00	1.671578074389403090e+00	9.949677493066992895e-01
8.023000000000000000e+05	1.299068981775527654e+00	1.414337458610435128e+08	3.384701954252569921e+24	4.194476035455356566e+01	5.341749045961615039e+00	1.671013133827083497e+00	9.949683454687398010e-01
8.024000000000000000e+05	1.299126482983384179e+00	1.413172849593871832e+08	3.380895087115236412e+24	4.191019057000916348e+01	5.337351175224084976e+00	1.670448139012639110e+00	9.949689415085614108e-01
8.025000000000000000e+05	1.299183951162990347e+00	1.412009087813107669e+08	3.377092136578827139e+24	4.187564596016986940e+01	5.332956503304252749e+00	1.669883089922392205e+00	9.949695374261910974e-01
