xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
3.05919e+01	5.89141e+10	1.74297e+04	1.10386e+28	1.53264e+01
3.13054e+01	5.49691e+10	1.62651e+04	1.00658e+28	1.49659e+01
3.20355e+01	5.12885e+10	1.51777e+04	9.17818e+27	1.46133e+01
3.27827e+01	4.78544e+10	1.41615e+04	8.36769e+27	1.42684e+01
3.35473e+01	4.46505e+10	1.32170e+04	7.63155e+27	1.39326e+01
3.43297e+01	4.16612e+10	1.23329e+04	6.95819e+27	1.36035e+01
3.51303e+01	3.88722e+10	1.15114e+04	6.34680e+27	1.32833e+01
3.59496e+01	3.62698e+10	1.07378e+04	5.78422e+27	1.29676e+01
3.67881e+01	3.38419e+10	1.00231e+04	5.27633e+27	1.26621e+01
3.76461e+01	3.15766e+10	9.35189e+03	4.81019e+27	1.23617e+01
3.85241e+01	2.94630e+10	8.72807e+03	4.38688e+27	1.20693e+01
3.94225e+01	2.74909e+10	8.14528e+03	4.00042e+27	1.17833e+01
4.03420e+01	2.56509e+10	7.59863e+03	3.64623e+27	1.15024e+01
4.12829e+01	2.39341e+10	7.09043e+03	3.32448e+27	1.12288e+01
4.22457e+01	2.23323e+10	6.61674e+03	3.03143e+27	1.09619e+01
4.32309e+01	2.08378e+10	6.17608e+03	2.76502e+27	1.07018e+01
4.42392e+01	1.94432e+10	5.76253e+03	2.52071e+27	1.04463e+01
4.52710e+01	1.81421e+10	5.37633e+03	2.29779e+27	1.01964e+01
4.63268e+01	1.69281e+10	5.01739e+03	2.09534e+27	9.95315e+00
4.74073e+01	1.57953e+10	4.68380e+03	1.91146e+27	9.71647e+00
4.85129e+01	1.47384e+10	4.37071e+03	1.74282e+27	9.48390e+00
4.96444e+01	1.37523e+10	4.07901e+03	1.58930e+27	9.25701e+00
5.08022e+01	1.28321e+10	3.80615e+03	1.44896e+27	9.03477e+00
5.19870e+01	1.19735e+10	3.55123e+03	1.32086e+27	8.81735e+00
5.31995e+01	1.11724e+10	3.31425e+03	1.20450e+27	8.60569e+00
5.44402e+01	1.04250e+10	3.09254e+03	1.09812e+27	8.39836e+00
5.57099e+01	9.72749e+09	2.88528e+03	1.00095e+27	8.19538e+00
5.70092e+01	9.07673e+09	2.69323e+03	9.12976e+26	7.99845e+00
5.83388e+01	8.46951e+09	2.51334e+03	8.32445e+26	7.80531e+00
5.96994e+01	7.90292e+09	2.34534e+03	7.58965e+26	7.61646e+00
6.10917e+01	7.37425e+09	2.18839e+03	6.91885e+26	7.43170e+00
6.25165e+01	6.88096e+09	2.04232e+03	6.30883e+26	7.25164e+00
6.39746e+01	6.42068e+09	1.90591e+03	5.75219e+26	7.07559e+00
6.54666e+01	5.99119e+09	1.77812e+03	5.24270e+26	6.90290e+00
6.69935e+01	5.59044e+09	1.65904e+03	4.77884e+26	6.73437e+00
6.85559e+01	5.21651e+09	1.54871e+03	4.35888e+26	6.57089e+00
7.01548e+01	4.86760e+09	1.44504e+03	3.97329e+26	6.41005e+00
7.17910e+01	4.54203e+09	1.34825e+03	3.62155e+26	6.25281e+00
7.34654e+01	4.23824e+09	1.25848e+03	3.30283e+26	6.10013e+00
7.51788e+01	3.95478e+09	1.17447e+03	3.01132e+26	5.95051e+00
7.69321e+01	3.69028e+09	1.09595e+03	2.74515e+26	5.80412e+00
7.87264e+01	3.44347e+09	1.02274e+03	2.50269e+26	5.66121e+00
8.05625e+01	3.21318e+09	9.54287e+02	2.28115e+26	5.52129e+00
8.24414e+01	2.99829e+09	8.90478e+02	2.07940e+26	5.38472e+00
8.43641e+01	2.79777e+09	8.30875e+02	1.89527e+26	5.25115e+00
8.63317e+01	2.61067e+09	7.75210e+02	1.72728e+26	5.12053e+00
8.83452e+01	2.43609e+09	7.23593e+02	1.57508e+26	4.99373e+00
9.04056e+01	2.27318e+09	6.75344e+02	1.43606e+26	4.86964e+00
9.25141e+01	2.12117e+09	6.30190e+02	1.30896e+26	4.74806e+00
9.46717e+01	1.97932e+09	5.87902e+02	1.19266e+26	4.62885e+00
9.68797e+01	1.84697e+09	5.48737e+02	1.08744e+26	4.51324e+00
9.91392e+01	1.72346e+09	5.12052e+02	9.91142e+25	4.39989e+00
1.01451e+02	1.60822e+09	4.77873e+02	9.03490e+25	4.28932e+00
1.03817e+02	1.50068e+09	4.45789e+02	8.23111e+25	4.18065e+00
1.06239e+02	1.40034e+09	4.16160e+02	7.50593e+25	4.07559e+00
1.08716e+02	1.30670e+09	3.88254e+02	6.83865e+25	3.97201e+00
1.11252e+02	1.21933e+09	3.62414e+02	6.23503e+25	3.87160e+00
1.13847e+02	1.13780e+09	3.38131e+02	5.68090e+25	3.77282e+00
1.16502e+02	1.06173e+09	3.15547e+02	5.17744e+25	3.67664e+00
1.19219e+02	9.90739e+08	2.94389e+02	4.71670e+25	3.58232e+00
1.21999e+02	9.24497e+08	2.74751e+02	4.29896e+25	3.49066e+00
1.24845e+02	8.62686e+08	2.56368e+02	3.91698e+25	3.40085e+00
1.27756e+02	8.05007e+08	2.39236e+02	3.56923e+25	3.31323e+00
1.30736e+02	7.51186e+08	2.23250e+02	3.25229e+25	3.22766e+00
1.33785e+02	7.00964e+08	2.08388e+02	2.96445e+25	3.14439e+00
1.36905e+02	6.54100e+08	1.94466e+02	2.70107e+25	3.06275e+00
1.40098e+02	6.10369e+08	1.81430e+02	2.46019e+25	2.98273e+00
1.43366e+02	5.69563e+08	1.69322e+02	2.24167e+25	2.90493e+00
1.46709e+02	5.31485e+08	1.57992e+02	2.04195e+25	2.82874e+00
1.50131e+02	4.95953e+08	1.47466e+02	1.86074e+25	2.75466e+00
1.53633e+02	4.62797e+08	1.37572e+02	1.69437e+25	2.68177e+00
1.57216e+02	4.31857e+08	1.28388e+02	1.54357e+25	2.61097e+00
1.60882e+02	4.02987e+08	1.19823e+02	1.40621e+25	2.54186e+00
1.64634e+02	3.76047e+08	1.11805e+02	1.28062e+25	2.47416e+00
1.68474e+02	3.50908e+08	1.04326e+02	1.16624e+25	2.40807e+00
1.72403e+02	3.27449e+08	9.73666e+01	1.06231e+25	2.34372e+00
1.76424e+02	3.05559e+08	9.08498e+01	9.67267e+24	2.28067e+00
1.80539e+02	2.85133e+08	8.47741e+01	8.80749e+24	2.21915e+00
1.84749e+02	2.66072e+08	7.91134e+01	8.02040e+24	2.15918e+00
1.89058e+02	2.48286e+08	7.37994e+01	7.29901e+24	2.10027e+00
1.93468e+02	2.31689e+08	6.88757e+01	6.64645e+24	2.04316e+00
1.97980e+02	2.16201e+08	6.42812e+01	6.05191e+24	1.98740e+00
2.02597e+02	2.01749e+08	5.99909e+01	5.50991e+24	1.93294e+00
2.07322e+02	1.88263e+08	5.59794e+01	5.01516e+24	1.87967e+00
2.12157e+02	1.75678e+08	5.22367e+01	4.56457e+24	1.82767e+00
2.17106e+02	1.63935e+08	4.87533e+01	4.15519e+24	1.77705e+00
2.22169e+02	1.52977e+08	4.54886e+01	3.78069e+24	1.72743e+00
2.27350e+02	1.42751e+08	4.24518e+01	3.44069e+24	1.67915e+00
2.32653e+02	1.33209e+08	3.96107e+01	3.13024e+24	1.63191e+00
2.38079e+02	1.24305e+08	3.69589e+01	2.84746e+24	1.58580e+00
2.43631e+02	1.15996e+08	3.44931e+01	2.59087e+24	1.54095e+00
2.49314e+02	1.08243e+08	3.21887e+01	2.35686e+24	1.49713e+00
2.55128e+02	1.01007e+08	3.00251e+01	2.14249e+24	1.45411e+00
2.61078e+02	9.42559e+07	2.80231e+01	1.94896e+24	1.41247e+00
2.67167e+02	8.79557e+07	2.61529e+01	1.77257e+24	1.37182e+00
2.73398e+02	8.20767e+07	2.43987e+01	1.61118e+24	1.33195e+00
2.79775e+02	7.65906e+07	2.27739e+01	1.46535e+24	1.29335e+00
2.86300e+02	7.14713e+07	2.12466e+01	1.33165e+24	1.25542e+00
2.92977e+02	6.66942e+07	1.98311e+01	1.21080e+24	1.21868e+00
2.99810e+02	6.22364e+07	1.85077e+01	1.10059e+24	1.18279e+00
3.06802e+02	5.80766e+07	1.72673e+01	9.99873e+23	1.14763e+00
3.13958e+02	5.41948e+07	1.61093e+01	9.08189e+23	1.11333e+00
3.21280e+02	5.05725e+07	1.50341e+01	8.25197e+23	1.08006e+00
3.28773e+02	4.71923e+07	1.40301e+01	7.49644e+23	1.04759e+00
3.36441e+02	4.40381e+07	1.30938e+01	6.80960e+23	1.01597e+00
3.44287e+02	4.10947e+07	1.22168e+01	6.18261e+23	9.85042e-01
3.52317e+02	3.83480e+07	1.13992e+01	5.61291e+23	9.54918e-01
3.60534e+02	3.57850e+07	1.06380e+01	5.09608e+23	9.25633e-01
3.68943e+02	3.33932e+07	9.92497e+00	4.62433e+23	8.96985e-01
3.77547e+02	3.11614e+07	9.26478e+00	4.19882e+23	8.69296e-01
3.86353e+02	2.90786e+07	8.64133e+00	3.80739e+23	8.41999e-01
3.95363e+02	2.71352e+07	8.06530e+00	3.45515e+23	8.15672e-01
4.04584e+02	2.53216e+07	7.52827e+00	3.13532e+23	7.90061e-01
4.14020e+02	2.36292e+07	7.02296e+00	2.84229e+23	7.64914e-01
4.23676e+02	2.20499e+07	6.55190e+00	2.57635e+23	7.40452e-01
4.33557e+02	2.05762e+07	6.11617e+00	2.33690e+23	7.16848e-01
4.43669e+02	1.92010e+07	5.70679e+00	2.11791e+23	6.93719e-01
4.54016e+02	1.79177e+07	5.32511e+00	1.91922e+23	6.71230e-01
4.64605e+02	1.67202e+07	4.96875e+00	1.73873e+23	6.49336e-01
4.75441e+02	1.56027e+07	4.63589e+00	1.57473e+23	6.28014e-01
4.86529e+02	1.45600e+07	4.32520e+00	1.42584e+23	6.07267e-01
4.97876e+02	1.35869e+07	4.03738e+00	1.29171e+23	5.87238e-01
5.09488e+02	1.26788e+07	3.76713e+00	1.16923e+23	5.67642e-01
5.21370e+02	1.18314e+07	3.51483e+00	1.05808e+23	5.48583e-01
5.33530e+02	1.10407e+07	3.27958e+00	9.57358e+22	5.30071e-01
5.45973e+02	1.03028e+07	3.05987e+00	8.65944e+22	5.12065e-01
5.58707e+02	9.61428e+06	2.85553e+00	7.83336e+22	4.94627e-01
5.71737e+02	8.97173e+06	2.66444e+00	7.08301e+22	4.77653e-01
5.85072e+02	8.37213e+06	2.48648e+00	6.40430e+22	4.61200e-01
5.98717e+02	7.81261e+06	2.31925e+00	5.78508e+22	4.45111e-01
6.12680e+02	7.29048e+06	2.16480e+00	5.22991e+22	4.29651e-01
6.26970e+02	6.80324e+06	2.02014e+00	4.72517e+22	4.14591e-01
6.41592e+02	6.34857e+06	1.88447e+00	4.26590e+22	3.99903e-01
6.56556e+02	5.92429e+06	1.75873e+00	3.85293e+22	3.85749e-01
6.71868e+02	5.52836e+06	1.64090e+00	3.47763e+22	3.71964e-01
6.87538e+02	5.15890e+06	1.53090e+00	3.13788e+22	3.58589e-01
7.03573e+02	4.81413e+06	1.42863e+00	2.83170e+22	3.45671e-01
7.19982e+02	4.49240e+06	1.33289e+00	2.55388e+22	3.33108e-01
7.36774e+02	4.19217e+06	1.24351e+00	2.30258e+22	3.20929e-01
7.53957e+02	3.91200e+06	1.16038e+00	2.07617e+22	3.09169e-01
7.71541e+02	3.65056e+06	1.08271e+00	1.87132e+22	2.97765e-01
7.89536e+02	3.40660e+06	1.01025e+00	1.68627e+22	2.86725e-01
8.07950e+02	3.17893e+06	9.42396e-01	1.51856e+22	2.76000e-01
8.26793e+02	2.96649e+06	8.79488e-01	1.36809e+22	2.65688e-01
8.46076e+02	2.76824e+06	8.20542e-01	1.23168e+22	2.55669e-01
8.65808e+02	2.58324e+06	7.65730e-01	1.10900e+22	2.46012e-01
8.86001e+02	2.41060e+06	7.14417e-01	9.97946e+21	2.36643e-01
9.06665e+02	2.24950e+06	6.66592e-01	8.97891e+21	2.27596e-01
9.27811e+02	2.09917e+06	6.21925e-01	8.07580e+21	2.18845e-01
9.49449e+02	1.95888e+06	5.80139e-01	7.25959e+21	2.10366e-01
9.71593e+02	1.82797e+06	5.41344e-01	6.52768e+21	2.02217e-01
9.94253e+02	1.70581e+06	5.04868e-01	5.86322e+21	1.94287e-01
1.01744e+03	1.59181e+06	4.71193e-01	5.27104e+21	1.86711e-01
1.04117e+03	1.48543e+06	4.39619e-01	4.73514e+21	1.79365e-01
1.06545e+03	1.38616e+06	4.10133e-01	4.25227e+21	1.72269e-01
1.09030e+03	1.29353e+06	3.82668e-01	3.81844e+21	1.65436e-01
1.11573e+03	1.20708e+06	3.57008e-01	3.42756e+21	1.58838e-01
1.14175e+03	1.12642e+06	3.33082e-01	3.07621e+21	1.52481e-01
1.16838e+03	1.05114e+06	3.10623e-01	2.75834e+21	1.46315e-01
1.19563e+03	9.80895e+05	2.89858e-01	2.47518e+21	1.40427e-01
1.22352e+03	9.15343e+05	2.70341e-01	2.21881e+21	1.34713e-01
