# M/Msun	Teff_K	Tcore_K
# 
2.50000e-01	1.00655e+04	2.02696e+07
2.50000e-01	1.01204e+04	2.04810e+07
2.50000e-01	1.01744e+04	2.06904e+07
2.50000e-01	1.02349e+04	2.09256e+07
2.50000e-01	1.02975e+04	2.11685e+07
2.50000e-01	1.03612e+04	2.14158e+07
2.50000e-01	1.04242e+04	2.16625e+07
2.50000e-01	1.04863e+04	2.19064e+07
2.50000e-01	1.05481e+04	2.21502e+07
2.50000e-01	1.06107e+04	2.23979e+07
2.50000e-01	1.06744e+04	2.26506e+07
2.50000e-01	1.07394e+04	2.29093e+07
2.50000e-01	1.08067e+04	2.31778e+07
2.50000e-01	1.08778e+04	2.34620e+07
2.50000e-01	1.09536e+04	2.37656e+07
2.50000e-01	1.10329e+04	2.40842e+07
2.50000e-01	1.11139e+04	2.44100e+07
2.50000e-01	1.12027e+04	2.47679e+07
2.50000e-01	1.13112e+04	2.52051e+07
2.50000e-01	1.14718e+04	2.58512e+07
2.50000e-01	1.16473e+04	2.65620e+07
2.50000e-01	1.18348e+04	2.73195e+07
2.50000e-01	1.20317e+04	2.81158e+07
2.50000e-01	1.22361e+04	2.89436e+07
2.50000e-01	1.24503e+04	2.98029e+07
2.50000e-01	1.26736e+04	3.06885e+07
2.50000e-01	1.29076e+04	3.15930e+07
2.50000e-01	1.31556e+04	3.25079e+07
2.50000e-01	1.34173e+04	3.34122e+07
2.50000e-01	1.36969e+04	3.42784e+07
2.50000e-01	1.39979e+04	3.50698e+07
2.50000e-01	1.43236e+04	3.57447e+07
2.50000e-01	1.46739e+04	3.62666e+07
2.50000e-01	1.50534e+04	3.66320e+07
2.50000e-01	1.54630e+04	3.68699e+07
2.50000e-01	1.59007e+04	3.70235e+07
2.50000e-01	1.63645e+04	3.71291e+07
2.50000e-01	1.68524e+04	3.72079e+07
2.50000e-01	1.73617e+04	3.72689e+07
2.50000e-01	1.78926e+04	3.73161e+07
2.50000e-01	1.84324e+04	3.73511e+07
2.50000e-01	1.89413e+04	3.73749e+07
2.50000e-01	1.96490e+04	3.73991e+07
2.50000e-01	2.07526e+04	3.74239e+07
2.50000e-01	2.28803e+04	3.74503e+07
2.50000e-01	2.93082e+04	3.74737e+07
3.00000e-01	1.48677e+03	2.40323e+05
3.00000e-01	1.52624e+03	2.53030e+05
3.00000e-01	1.56806e+03	2.66691e+05
3.00000e-01	1.60955e+03	2.80891e+05
3.00000e-01	1.65315e+03	2.96028e+05
3.00000e-01	1.69813e+03	3.12050e+05
3.00000e-01	1.74450e+03	3.29024e+05
3.00000e-01	1.79230e+03	3.47028e+05
3.00000e-01	1.84154e+03	3.66117e+05
3.00000e-01	1.89205e+03	3.86274e+05
3.00000e-01	1.94502e+03	4.07907e+05
3.00000e-01	1.99798e+03	4.30615e+05
3.00000e-01	2.05316e+03	4.54771e+05
3.00000e-01	2.10985e+03	4.80371e+05
3.00000e-01	2.16796e+03	5.07430e+05
3.00000e-01	2.22867e+03	5.36415e+05
3.00000e-01	2.28941e+03	5.66858e+05
3.00000e-01	2.35213e+03	5.98992e+05
3.00000e-01	2.41668e+03	6.32753e+05
3.00000e-01	2.48416e+03	6.68484e+05
3.00000e-01	2.55474e+03	7.06819e+05
3.00000e-01	2.62522e+03	7.47257e+05
3.00000e-01	2.69763e+03	7.90220e+05
3.00000e-01	2.77142e+03	8.35809e+05
3.00000e-01	2.84563e+03	8.83643e+05
3.00000e-01	2.92250e+03	9.34577e+05
3.00000e-01	3.00069e+03	9.88860e+05
3.00000e-01	3.07748e+03	1.04554e+06
3.00000e-01	3.15384e+03	1.10462e+06
3.00000e-01	3.23130e+03	1.16702e+06
3.00000e-01	3.31191e+03	1.23496e+06
3.00000e-01	3.38558e+03	1.30228e+06
3.00000e-01	3.46320e+03	1.37612e+06
3.00000e-01	3.53832e+03	1.45167e+06
3.00000e-01	3.56485e+03	1.48112e+06
3.00000e-01	3.61861e+03	1.54057e+06
3.00000e-01	3.67190e+03	1.60240e+06
3.00000e-01	3.72536e+03	1.66768e+06
3.00000e-01	3.78011e+03	1.73782e+06
3.00000e-01	3.83715e+03	1.81161e+06
3.00000e-01	3.90037e+03	1.88281e+06
3.00000e-01	3.97893e+03	1.95397e+06
3.00000e-01	4.02771e+03	2.01476e+06
3.00000e-01	4.08017e+03	2.08587e+06
3.00000e-01	4.18579e+03	2.22039e+06
3.00000e-01	4.25188e+03	2.31562e+06
3.00000e-01	4.31793e+03	2.41451e+06
3.00000e-01	4.38409e+03	2.51736e+06
3.00000e-01	4.45070e+03	2.62447e+06
3.00000e-01	4.51797e+03	2.73625e+06
3.00000e-01	4.58619e+03	2.85308e+06
3.00000e-01	4.65560e+03	2.97539e+06
3.00000e-01	4.72638e+03	3.10332e+06
3.00000e-01	4.79819e+03	3.23658e+06
3.00000e-01	4.87005e+03	3.37464e+06
3.00000e-01	4.94092e+03	3.51756e+06
3.00000e-01	5.01036e+03	3.66578e+06
3.00000e-01	5.07873e+03	3.81985e+06
3.00000e-01	5.14674e+03	3.97974e+06
3.00000e-01	5.21464e+03	4.14546e+06
3.00000e-01	5.28201e+03	4.31619e+06
3.00000e-01	5.34775e+03	4.49160e+06
3.00000e-01	5.41057e+03	4.67225e+06
3.00000e-01	5.47118e+03	4.85929e+06
3.00000e-01	5.53108e+03	5.05167e+06
3.00000e-01	5.59050e+03	5.24739e+06
3.00000e-01	5.64886e+03	5.44469e+06
3.00000e-01	5.70718e+03	5.64326e+06
3.00000e-01	5.76701e+03	5.84203e+06
3.00000e-01	5.82974e+03	6.04120e+06
3.00000e-01	5.89623e+03	6.23894e+06
3.00000e-01	5.96703e+03	6.43594e+06
3.00000e-01	6.04338e+03	6.63693e+06
3.00000e-01	6.13379e+03	6.85668e+06
3.00000e-01	6.24365e+03	7.10330e+06
3.00000e-01	6.34253e+03	7.31710e+06
3.00000e-01	6.41334e+03	7.46879e+06
3.00000e-01	6.46267e+03	7.57440e+06
3.00000e-01	6.51179e+03	7.67964e+06
3.00000e-01	6.56235e+03	7.78822e+06
