xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
1.87295e-01	9.09842e+16	7.46620e+07	7.68732e+32	2.56565e+02
1.91662e-01	8.49055e+16	7.46620e+07	7.68733e+32	2.56565e+02
1.96131e-01	7.92330e+16	7.46621e+07	7.68734e+32	2.56565e+02
2.00705e-01	7.39395e+16	7.46622e+07	7.68735e+32	2.56566e+02
2.05385e-01	6.89998e+16	7.46623e+07	7.68736e+32	2.56566e+02
2.10175e-01	6.43900e+16	7.46624e+07	7.68737e+32	2.56566e+02
2.15076e-01	6.00883e+16	7.46625e+07	7.68738e+32	2.56566e+02
2.20091e-01	5.60740e+16	7.46625e+07	7.68739e+32	2.56566e+02
2.25224e-01	5.23280e+16	7.46626e+07	7.68741e+32	2.56566e+02
2.30476e-01	4.88322e+16	7.46627e+07	7.68742e+32	2.56566e+02
2.35850e-01	4.55700e+16	7.46628e+07	7.68743e+32	2.56566e+02
2.41350e-01	4.25258e+16	7.46629e+07	7.68745e+32	2.56566e+02
2.46978e-01	3.96850e+16	7.46630e+07	7.68746e+32	2.56566e+02
2.52737e-01	3.70340e+16	7.46631e+07	7.68748e+32	2.56566e+02
2.58631e-01	3.44903e+16	6.80997e+07	6.79990e+32	2.48801e+02
2.64662e-01	3.21863e+16	6.80997e+07	6.79990e+32	2.48801e+02
2.70834e-01	3.00362e+16	6.80997e+07	6.79990e+32	2.48801e+02
2.77150e-01	2.80297e+16	6.80997e+07	6.79990e+32	2.48801e+02
2.83612e-01	2.61573e+16	6.80997e+07	6.79990e+32	2.48801e+02
2.90226e-01	2.44101e+16	6.80997e+07	6.79990e+32	2.48801e+02
2.96994e-01	2.27795e+16	6.80997e+07	6.79990e+32	2.48801e+02
3.03920e-01	2.12579e+16	6.80997e+07	6.79990e+32	2.48801e+02
3.11007e-01	1.98380e+16	6.80997e+07	6.79989e+32	2.48801e+02
3.18259e-01	1.85130e+16	6.80997e+07	6.79989e+32	2.48801e+02
3.25681e-01	1.72765e+16	6.80997e+07	6.79989e+32	2.48801e+02
3.33275e-01	1.61226e+16	6.80997e+07	6.79989e+32	2.48801e+02
3.41047e-01	1.50458e+16	6.80996e+07	6.79989e+32	2.48801e+02
3.49000e-01	1.40410e+16	6.80996e+07	6.79989e+32	2.48801e+02
3.57138e-01	1.31033e+16	6.80996e+07	6.79989e+32	2.48801e+02
3.65467e-01	1.22283e+16	6.80996e+07	6.79988e+32	2.48801e+02
