# r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
1.329316049506766023e+06	2.554522434828055411e-01	3.924479518153661489e+07	5.771545449875584970e+23	1.158733087500262293e+01	1.954112943253613066e+00	9.617661644813216837e-01	9.982624594701101639e-01
1.330052512692088261e+06	2.557749861989698781e-01	3.921790967489994317e+07	5.765994192088095009e+23	1.157933094751692060e+01	1.952774493269820999e+00	9.614652380261403675e-01	9.982627746331499408e-01
1.330788975877410499e+06	2.560978651300148123e-01	3.919103098528548330e+07	5.760445879226196359e+23	1.157133309114855813e+01	1.951436382483318521e+00	9.611641815832864255e-01	9.982630898524675889e-01
1.331525439062732738e+06	2.564208800398661281e-01	3.916415912771627307e+07	5.754900513847997041e+23	1.156333731036426649e+01	1.950098611642023583e+00	9.608629951952242232e-01	9.982634051279171139e-01
1.332261902248054976e+06	2.567440306923532423e-01	3.913729411719120294e+07	5.749358098503104400e+23	1.155534360962345097e+01	1.948761181492643324e+00	9.605616789044154613e-01	9.982637204593522995e-01
1.332998365433377214e+06	2.570673168512098705e-01	3.911043596868471056e+07	5.743818635732629796e+23	1.154735199337810236e+01	1.947424092780660976e+00	9.602602327533178439e-01	9.982640358466272623e-01
1.333734828618699452e+06	2.573907382800744714e-01	3.908358469714602083e+07	5.738282128069195989e+23	1.153936246607270455e+01	1.946087346250319428e+00	9.599586567843795271e-01	9.982643512895957860e-01
1.334471291804021690e+06	2.577142947424909125e-01	3.905674031750009209e+07	5.732748578036943180e+23	1.153137503214435000e+01	1.944750942644641878e+00	9.596569510400447811e-01	9.982646667881117652e-01
1.335207754989343928e+06	2.580379860019088034e-01	3.902990284464679658e+07	5.727217988151535720e+23	1.152338969602271845e+01	1.943414882705424063e+00	9.593551155627524363e-01	9.982649823420288726e-01
1.335944218174666166e+06	2.583618118216843285e-01	3.900307229346184433e+07	5.721690360920164794e+23	1.151540646213003427e+01	1.942079167173231591e+00	9.590531503949343284e-01	9.982652979512011138e-01
1.336680681359988404e+06	2.586857719650806908e-01	3.897624867879594117e+07	5.716165698841559832e+23	1.150742533488107533e+01	1.940743796787400832e+00	9.587510555790159650e-01	9.982656136154821613e-01
1.337417144545310643e+06	2.590098661952685011e-01	3.894943201547516137e+07	5.710644004405989847e+23	1.149944631868317835e+01	1.939408772286037363e+00	9.584488311574158592e-01	9.982659293347257989e-01
